Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN,ECRS
01/01/2026,01:00,N,0.92,0.87,0.5,1.97,0.64
01/01/2026,02:00,N,1.13,1,0.29,1.69,0.38
01/01/2026,03:00,N,1.07,0.8,0.41,1.5,0.5
01/01/2026,04:00,N,1,1.04,0.39,1.39,0.52
01/01/2026,05:00,N,1.2,1.1,0.42,1.67,0.61
01/01/2026,06:00,N,1.25,1.16,0.46,1.78,0.55
01/01/2026,07:00,N,0.02,0.94,1,2.25,1
01/01/2026,08:00,N,0,4.08,2,3,3.05
01/01/2026,09:00,N,5.2,3.43,2.88,2.93,2.98
01/01/2026,10:00,N,1.49,2.79,1.97,1.5,2.07
01/01/2026,11:00,N,0.99,1.17,0.52,1.2,0.85
01/01/2026,12:00,N,0.54,0.92,0.5,1.28,0.59
01/01/2026,13:00,N,0.5,0.9,0.49,1.1,0.65
01/01/2026,14:00,N,0.5,0.67,0.33,1.05,0.51
01/01/2026,15:00,N,1,0.64,0.36,1.09,0.55
01/01/2026,16:00,N,1.2,0.7,0.43,1.41,0.62
01/01/2026,17:00,N,9.51,1.19,0.41,1.73,0.6
01/01/2026,18:00,N,0.01,2.51,1.12,3.05,1.12
01/01/2026,19:00,N,0.03,1,1,3.09,1.09
01/01/2026,20:00,N,1.18,1.07,0.94,3,1.2
01/01/2026,21:00,N,1.1,1.08,1,2,1.15
01/01/2026,22:00,N,1.16,1.37,1,1.97,1.15
01/01/2026,23:00,N,1.44,0.58,0.58,1.97,0.88
01/01/2026,24:00,N,1,0.55,0.55,2.2,0.88
01/02/2026,01:00,N,0.68,0.76,0.5,1.99,0.61
01/02/2026,02:00,N,0.38,0.69,0.33,1.82,0.5
01/02/2026,03:00,N,0.76,0.49,0.25,1.55,0.42
01/02/2026,04:00,N,1,0.67,0.3,1.55,0.49
01/02/2026,05:00,N,0.76,0.62,0.39,1.82,0.5
01/02/2026,06:00,N,0.58,0.69,0.49,1.68,0.5
01/02/2026,07:00,N,0.02,1.28,0.84,2.05,0.86
01/02/2026,08:00,N,0,1.88,1.97,3,2
01/02/2026,09:00,N,0.5,1.82,1.26,1.97,1.99
01/02/2026,10:00,N,0.5,0.72,0.59,1.34,0.88
01/02/2026,11:00,N,0.49,0.46,0.3,1.18,0.49
01/02/2026,12:00,N,2,0.8,0.25,1.16,0.44
01/02/2026,13:00,N,1.49,0.69,0.31,1.04,0.5
01/02/2026,14:00,N,3.06,0.67,0.33,1.05,0.5
01/02/2026,15:00,N,5.32,0.86,0.36,1.05,0.51
01/02/2026,16:00,N,18.1,0.79,0.43,1.33,0.5
01/02/2026,17:00,N,6.43,1.43,0.47,1.85,0.5
01/02/2026,18:00,N,0.01,1.2,1.3,3,1.31
01/02/2026,19:00,N,0.03,1.32,1.19,4.57,2
01/02/2026,20:00,N,1.41,1,1,3.45,1
01/02/2026,21:00,N,1.05,1.23,0.74,2.24,0.83
01/02/2026,22:00,N,1.15,1.61,0.5,2,1.27
01/02/2026,23:00,N,1.49,1,0.55,2.23,0.89
01/02/2026,24:00,N,1.7,1,0.69,3,0.5
01/03/2026,01:00,N,0.93,0.71,0.36,2,0.5
01/03/2026,02:00,N,0.83,0.83,0.22,1.73,0.41
01/03/2026,03:00,N,0.56,0.75,0.3,1.54,0.49
01/03/2026,04:00,N,0.88,0.95,0.3,1.55,0.49
01/03/2026,05:00,N,0.91,0.4,0.41,1.86,0.5
01/03/2026,06:00,N,0.02,1.23,0.5,1.91,0.65
01/03/2026,07:00,N,0.92,0.86,0.78,1.96,0.96
01/03/2026,08:00,N,0.24,2.81,2.71,2,2.8
01/03/2026,09:00,N,1.8,2.93,1.97,1.99,2.6
01/03/2026,10:00,N,0.64,1.9,1,1.5,1.55
01/03/2026,11:00,N,0.5,1,0.42,1.15,0.61
01/03/2026,12:00,N,0.5,1.23,0.39,1.2,0.58
01/03/2026,13:00,N,0.5,0.54,0.3,1.05,0.47
01/03/2026,14:00,N,0.5,0.45,0.31,1.04,0.5
01/03/2026,15:00,N,1.6,0.28,0.31,1.05,0.5
01/03/2026,16:00,N,4.11,0.94,0.39,1.34,0.71
